zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE2,2026-09-21T09:00:00+02:00,2026-09-21T07:00:00+00:00,42.6,False,47.6,True,EUR/MWh
SE2,2026-09-21T09:15:00+02:00,2026-09-21T07:15:00+00:00,53.23,False,58.23,True,EUR/MWh
SE2,2026-09-21T09:30:00+02:00,2026-09-21T07:30:00+00:00,29.84,False,34.84,True,EUR/MWh
SE2,2026-09-21T09:45:00+02:00,2026-09-21T07:45:00+00:00,20.08,False,25.08,True,EUR/MWh
SE2,2026-09-21T10:00:00+02:00,2026-09-21T08:00:00+00:00,42.96,False,47.96,True,EUR/MWh
SE2,2026-09-21T10:15:00+02:00,2026-09-21T08:15:00+00:00,27.21,False,32.21,True,EUR/MWh
SE2,2026-09-21T10:30:00+02:00,2026-09-21T08:30:00+00:00,10.24,False,15.24,True,EUR/MWh
SE2,2026-09-21T10:45:00+02:00,2026-09-21T08:45:00+00:00,5.17,False,10.17,True,EUR/MWh
SE2,2026-09-21T11:00:00+02:00,2026-09-21T09:00:00+00:00,24.84,False,29.84,True,EUR/MWh
SE2,2026-09-21T11:15:00+02:00,2026-09-21T09:15:00+00:00,11.83,False,16.83,True,EUR/MWh
SE2,2026-09-21T11:30:00+02:00,2026-09-21T09:30:00+00:00,8.05,False,13.05,True,EUR/MWh
SE2,2026-09-21T11:45:00+02:00,2026-09-21T09:45:00+00:00,5.54,False,10.54,True,EUR/MWh
SE2,2026-09-21T12:00:00+02:00,2026-09-21T10:00:00+00:00,12.72,False,17.72,True,EUR/MWh
SE2,2026-09-21T12:15:00+02:00,2026-09-21T10:15:00+00:00,8.77,False,13.77,True,EUR/MWh
SE2,2026-09-21T12:30:00+02:00,2026-09-21T10:30:00+00:00,6.72,False,11.72,True,EUR/MWh
SE2,2026-09-21T12:45:00+02:00,2026-09-21T10:45:00+00:00,5.52,False,10.52,True,EUR/MWh
SE2,2026-09-21T13:00:00+02:00,2026-09-21T11:00:00+00:00,7.04,False,12.04,True,EUR/MWh
SE2,2026-09-21T13:15:00+02:00,2026-09-21T11:15:00+00:00,5.55,False,10.55,True,EUR/MWh
SE2,2026-09-21T13:30:00+02:00,2026-09-21T11:30:00+00:00,5.51,False,10.51,True,EUR/MWh
SE2,2026-09-21T13:45:00+02:00,2026-09-21T11:45:00+00:00,6.24,False,11.24,True,EUR/MWh
SE2,2026-09-21T14:00:00+02:00,2026-09-21T12:00:00+00:00,6.72,False,11.72,True,EUR/MWh
SE2,2026-09-21T14:15:00+02:00,2026-09-21T12:15:00+00:00,8.11,False,13.11,True,EUR/MWh
SE2,2026-09-21T14:30:00+02:00,2026-09-21T12:30:00+00:00,6.72,False,11.72,True,EUR/MWh
SE2,2026-09-21T14:45:00+02:00,2026-09-21T12:45:00+00:00,7.74,False,12.74,True,EUR/MWh
